pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
27.044779,3.910226,15.718567000000002,27.549282,3.983565,15.780732,27.629323,3.93529,14.968933999999999,27.361109999999996,1.3103790000000002,13.087363,27.862779999999997,0.907156,12.405816999999999,26.305822999999997,0.238921,12.150393,25.037570000000002,-0.228533,12.772473,,,
27.044796999999996,3.909734,15.718117000000001,27.549282,3.983565,15.780732,27.629323,3.93529,14.968933999999999,27.361877000000003,1.309399,13.088727,27.862779999999997,0.907156,12.405816999999999,26.306451000000003,0.23702800000000002,12.151850999999999,25.038325,-0.229535,12.773848,,,
27.045424,3.910798,15.716366,27.550672,3.9836720000000003,15.78036,27.630709999999997,3.935397,14.968563,27.362496999999998,1.310482,13.087010000000001,27.862803000000003,0.9066719999999999,12.405362,26.305666,0.23850300000000002,12.150949,25.037570000000002,-0.228533,12.772473,,,
27.046815999999996,3.9109010000000004,15.716,27.551294,3.984739,15.778603,27.63133,3.936462,14.966818,27.362519,1.309996,13.086556,27.863445000000002,0.9047870000000001,12.406819,26.306559999999998,0.238413,12.152211999999999,25.037570000000002,-0.228533,12.772473,,,
27.04758,3.90994,15.717386,27.552062,3.9837800000000003,15.779988000000001,27.632862,3.9345489999999996,14.969567000000001,27.362391,1.3090950000000001,13.086656,27.863445000000002,0.9047870000000001,12.406819,26.306452,0.240006,12.148697,25.037570000000002,-0.228533,12.772473,,,
27.048345,3.908979,15.718772,27.552849,3.9823269999999997,15.780926000000001,27.632862,3.9345489999999996,14.969567000000001,27.363158000000002,1.308115,13.08802,27.864059,0.905875,12.405108,26.30708,0.23811300000000002,12.150153999999999,25.038462,-0.22863200000000003,12.77375,,,
27.049737,3.9090830000000003,15.718407000000001,27.555007,3.981475,15.781939000000001,27.635015000000003,3.9337,14.970571,27.363286,1.309016,13.08792,27.864852000000003,0.90441,12.406009,26.307212,0.23603600000000002,12.153211,25.038301,-0.22905,12.774312,,,
27.049737,3.9090830000000003,15.718407000000001,27.555007,3.981475,15.781939000000001,27.635654,3.934273,14.968379999999998,27.363925,1.307135,13.089383999999999,27.864852000000003,0.90441,12.406009,26.307840000000002,0.237121,12.151515,25.038437,-0.228147,12.774215,,,
27.051893,3.908225,15.719428,27.557146999999997,3.981117,15.7834,27.637168,3.9328519999999996,14.971575,27.364568,1.307732,13.087212,27.866235999999997,0.904516,12.405653,26.307840000000002,0.237121,12.151515,25.038437,-0.228147,12.774215,,,
27.052677000000003,3.906772,15.720364000000002,27.557166,3.9806230000000005,15.782951999999998,27.638572999999997,3.932468,14.970757999999998,27.365334999999998,1.3067520000000001,13.088576,27.866259000000003,0.904033,12.405199,26.307840000000002,0.237121,12.151515,25.039079,-0.22706199999999999,12.772519,,,
27.054068,3.906875,15.719998,27.558556,3.9807300000000003,15.78258,27.63996,3.932576,14.970386999999999,27.365334999999998,1.3067520000000001,13.088576,27.866131,0.9031290000000001,12.4053,26.308625,0.235646,12.152417,25.039193,-0.229149,12.775589,,,
27.054958000000003,3.906804,15.721282,27.560215000000003,3.9797010000000004,15.785248999999999,27.640726,3.9316190000000004,14.971762,27.366744,1.3063690000000001,13.087769,27.866901000000002,0.9021469999999999,12.406656,26.309253000000002,0.236731,12.150721,25.039217999999998,-0.229634,12.775125,,,
27.055722999999997,3.905843,15.722667999999999,27.561606,3.9798089999999995,15.784877,27.641616,3.93155,14.973037,27.367489000000003,1.305874,13.089587,27.867539,0.902752,12.40449,26.308601,0.23613,12.152875,25.039079,-0.22706199999999999,12.772519,,,
27.057114000000002,3.9059459999999997,15.722303,27.562374,3.978849,15.786261999999999,27.643003000000004,3.931658,14.972666,27.367511,1.305389,13.089133,27.868308000000003,0.9017700000000001,12.405846,26.309229,0.237215,12.151178999999999,25.039834,-0.228064,12.773893,,,
27.058506,3.906049,15.721936999999999,27.562996000000002,3.9799160000000002,15.784504,27.644389,3.9317660000000005,14.972295,27.367511,1.305389,13.089133,27.868308000000003,0.9017700000000001,12.405846,26.310751,0.23523200000000002,12.153899000000001,25.039834,-0.228064,12.773893,,,
27.058488,3.906542,15.722387,27.563764000000003,3.978957,15.78589,27.645156,3.9308099999999997,14.973669000000001,27.367511,1.305389,13.089133,27.868308000000003,0.9017700000000001,12.405846,26.310751,0.23523200000000002,12.153899000000001,25.039834,-0.228064,12.773893,,,
27.058506,3.906049,15.721936999999999,27.563764000000003,3.978957,15.78589,27.645776,3.9318739999999996,14.971924,27.368407,1.305309,13.090396,27.869691999999997,0.901876,12.405489999999999,26.310775,0.234748,12.153441,25.040589999999998,-0.229066,12.775267999999999,,,
27.059271000000003,3.905089,15.723323,27.565277000000002,3.979954,15.785414999999999,27.646541999999997,3.930918,14.973298000000002,27.368278000000004,1.304408,13.090497000000001,27.869204999999997,0.9016930000000001,12.4071,26.310884,0.236134,12.153802,25.040726,-0.228163,12.77517,,,
27.059377,3.9064699999999997,15.723671,27.565277000000002,3.979954,15.785414999999999,27.646646999999998,3.9322980000000003,14.973644,27.368899,1.305492,13.088778999999999,27.869691999999997,0.901876,12.405489999999999,26.310884,0.236134,12.153802,25.040726,-0.228163,12.77517,,,
27.059984999999998,3.9080269999999997,15.722369,27.565259,3.9804470000000003,15.785863,27.646646999999998,3.9322980000000003,14.973644,27.368876,1.305977,13.089234,27.869691999999997,0.901876,12.405489999999999,26.310859999999998,0.236617,12.154261,25.041342999999998,-0.22659400000000002,12.773939,,,
