,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,82.60544532653827,62.55744600275813,50.263740992733716
152,77.14140304660013,55.4136876311763,54.15429152104596
153,77.1724479565966,55.413630361599644,54.173204596150924
154,77.15116082331036,55.413630361599644,54.173204596150924
155,77.16276177169203,55.41405537429546,54.154177957972024
156,77.16448567603385,55.446930287499654,54.12427967591947
157,77.12075840392535,55.4235989645821,54.2541964668533
158,77.09818053932449,55.234102081842806,54.27138139158343
159,77.22351853230613,55.41466557251522,54.15361103105701
160,77.14260846784569,55.41102884039891,54.18767665367292
161,77.13091317996764,55.32234886592639,54.20633193347784
162,77.18012817541177,55.448669287093495,54.27019112918673
163,77.23436152657541,55.41209767716633,54.22128731612486
164,77.1947641724124,55.4538673576582,54.3213458038377
165,77.2556511029334,55.47753134972277,54.29190232409593
166,77.32355394157221,55.41592161923897,54.414729752125865
167,77.28070394941307,55.345065789158255,54.353552055730134
168,77.31750983245469,55.44301796677439,54.51685208948436
169,77.39793473430285,55.21097850440934,54.578116925149416
170,77.44166946657391,54.90961554815915,54.62317254669395
171,77.3990578731329,54.70923930562064,54.97698340646636
172,77.4927659645901,54.53939228730847,55.17955760971384
173,77.6632717768395,54.17319263197771,55.81789023719706
174,77.96076081180662,52.591897202628644,58.16983060975063
