,fore-aft,lateral,normal
0,-0.09062,0.034730000000000004,0.12385
1,-0.07945,0.02023,0.11999
2,-0.1067,0.02396,0.12153
3,-0.0832,0.06391000000000001,0.1187
4,-0.09039,0.04949,0.11431
5,-0.10412,0.02953,0.12717
6,-0.09196,0.03543,0.124
7,-0.09422,0.01466,0.13879
8,-0.08248,0.06604,0.13506
9,-0.09213,0.05871000000000001,0.13726
10,-0.08774,0.01057,0.13955
11,-0.09563,0.03079,0.13178
12,-0.0899,0.06467,0.14144
13,-0.10207,0.03795,0.13781
14,-0.09274,0.06205,0.1312
15,-0.09974,0.04002,0.13185
16,-0.08092,0.06341000000000001,0.13088
17,-0.07019,0.02959,0.13002
18,-0.06501,0.02748,0.11404
19,-0.11505,0.04555,0.13195
20,-0.11939,0.03814,0.12528
21,-0.07485,0.06281,0.13499
22,-0.08753999999999999,0.05403,0.12252
23,-0.09362,0.05051,0.1315
24,-0.10225,0.04832,0.12663
25,-0.09905,0.03757,0.13352999999999998
26,-0.08932000000000001,0.0353,0.14482
27,-0.08613,0.04725,0.13792
28,-0.09259,0.049760000000000006,0.13194
29,-0.08121,0.05712,0.13295
30,-0.09311,0.04823,0.12414
31,-0.07084,0.06686,0.12769
32,-0.08242000000000001,0.05946,0.13915
33,-0.11025,0.05296,0.13219
34,-0.10205,0.02137,0.12571
35,-0.09106,0.09714,0.1181
36,-0.08746,0.0584,0.12904000000000002
37,-0.09139,0.07103,0.11664
38,-0.07624,0.08829,0.11777
39,-0.08746,0.05846000000000001,0.12579
40,-0.08699,0.03014,0.13045
41,-0.06202000000000001,0.05355,0.12584
42,-0.08517000000000001,0.06456,0.12527
43,-0.09071,0.04794,0.13327
44,-0.10265,0.05523,0.12693
45,-0.06451,0.07568,0.13053
46,-0.09495,0.07536,0.12895
47,-0.059029999999999985,0.05664,0.12714
48,-0.09858,0.07147,0.12539
49,-0.10108,0.057329999999999985,0.12935
50,-0.08551,0.05371,0.12077
51,-0.09426,0.05805,0.1332
52,-0.08284,0.053020000000000005,0.13001
53,-0.08571000000000001,0.04813,0.11565
54,-0.11508,0.05835,0.12649000000000002
55,-0.091,0.06947,0.13019
56,-0.0923,0.08800000000000001,0.12775999999999998
57,-0.09363,0.04123,0.13208
58,-0.06957999999999999,0.05339,0.13360999999999998
59,-0.09703,0.06701,0.13398
60,-0.09414,0.04967,0.13729
61,-0.10137,0.05774,0.13484000000000002
62,-0.0931,0.04392,0.13808
63,-0.08861000000000001,0.05124,0.13642
64,-0.09121,0.0719,0.12880999999999998
65,-0.0932,0.08266,0.12802
66,-0.09837,0.05455,0.1245
67,-0.11281,0.05794,0.12899000000000002
68,-0.07091,0.029960000000000007,0.13299
69,-0.09747,0.06771,0.11772
70,-0.07301,0.05023,0.13169
71,-0.06681000000000001,0.06677999999999999,0.12936
72,-0.09917,0.04079,0.11592
73,-0.10115,0.04473,0.12937
74,-0.11473,0.07616,0.12241
75,-0.09022,0.05434,0.14138
76,-0.07492,0.06099,0.12046
77,-0.10472,0.07175,0.13176
78,-0.10067,0.051210000000000006,0.12567
79,-0.0658,0.06615,0.12915
80,-0.09656,0.0487,0.12376
81,-0.07234,0.0795,0.13551
82,-0.07431,0.06804,0.11786
83,-0.0754,0.054810000000000005,0.13805
84,-0.08581,0.07094,0.12244
85,-0.10862,0.06919,0.12185
86,-0.0716,0.0705,0.12997
87,-0.09402,0.05793,0.12797
88,-0.08375,0.06116,0.13592
89,-0.09292,0.05455,0.13544
90,-0.10308,0.04916,0.13119
91,-0.08481,0.0471,0.13921
92,-0.10682,0.04057,0.11909000000000003
93,-0.09346,0.02634,0.11991
94,-0.08267000000000001,0.08434,0.13280999999999998
95,-0.08208,0.05011,0.12314
96,-0.12133,0.0469,0.1302
97,-0.10009,0.04213,0.12165
98,-0.09222,0.05064,0.11821
99,-0.13126,0.08578,0.1344
100,-0.09487,0.06861,0.12397
101,-0.09919,0.07633999999999999,0.12719
102,-0.06471,0.06982000000000001,0.12226
103,-0.10765,0.054929999999999986,0.13576
104,-0.08615,0.06729,0.13166
105,-0.10024,0.04087,0.12113
106,-0.10433,0.06473,0.12549000000000002
107,-0.09931,0.08556,0.13558
108,-0.11165,0.0687,0.11689
109,-0.1149,0.06437999999999999,0.12543
110,-0.09995,0.10715,0.1207
111,-0.09518,0.08073,0.12525
112,-0.10787,0.06997,0.1249
113,-0.11855,0.0788,0.12444
114,-0.1038,0.06192,0.11573
115,-0.10553,0.06058,0.13304000000000002
116,-0.10106,0.06072,0.13026
117,-0.10972,0.06853,0.1125
118,-0.10434,0.05509,0.11965
119,-0.09457,0.05554,0.11841
120,-0.08261,0.07662999999999999,0.12204
121,-0.10568,0.07856,0.11521
122,-0.09283,0.04497,0.11478
123,-0.09695,0.06351,0.11238
124,-0.12618,0.06114,0.12148
125,-0.08242000000000001,0.08335,0.12405
126,-0.12368,0.05749,0.12769
127,-0.0875,0.04212,0.10492
128,-0.09863,0.07124,0.11113
129,-0.10925,0.08102999999999999,0.12293
130,-0.09793,0.04549,0.11333
131,-0.1015,0.07618,0.11234
132,-0.08597,0.07805,0.1074
133,-0.11348,0.04537,0.11426
134,-0.11135,0.09085,0.11302
135,-0.08182,0.08695,0.11378
136,-0.10155,0.06781000000000001,0.10708
137,-0.07513,0.07781,0.09419
138,-0.09778,0.04712,0.11397
139,-0.0991,0.04285,0.12105
