,fore-aft,lateral,normal
0,-0.07371,-0.15773,0.0511
1,-0.00551,-0.17182,0.04143
2,-0.02683,-0.17046,0.05662
3,-0.02072,-0.1615,0.05761
4,0.01495,-0.15298,0.06467
5,-0.0214,-0.15602,0.04024
6,-0.05623,-0.18021,0.0409
7,-0.02994,-0.15766,0.0563
8,-0.0063,-0.15545,0.051660000000000005
9,-0.02983,-0.13095,0.047310000000000005
10,-0.04705,-0.1538,0.04371
11,-0.02337,-0.19133,0.05661
12,-0.02792,-0.16827,0.05319
13,0.02521,-0.18437,0.02637
14,-0.01889,-0.14319,0.05131
15,-0.03621,-0.16068,0.049510000000000005
16,-0.01941,-0.14415,0.04026
17,-0.04353,-0.14615999999999998,0.02528
18,-0.03703,-0.14487,0.03831
19,-0.06369,-0.14920999999999998,0.03468
20,-0.01089,-0.17848,0.05533
21,-0.00534,-0.16793,0.057720000000000014
22,-0.03518,-0.17090999999999998,0.04852
23,-0.00459,-0.17689000000000002,0.03166
24,-0.03838,-0.18156,0.04499
25,-0.01137,-0.16439,0.04425
26,-0.01334,-0.18738,0.04153
27,-0.02187,-0.17548,0.04918
28,0.01113,-0.15883,0.04942
29,0.01044,-0.15705999999999998,0.046380000000000005
30,-0.0544,-0.16681,0.04337
31,-0.01554,-0.14315999999999998,0.03705
32,-0.032310000000000005,-0.17456,0.03684
33,-0.01744,-0.1743,0.04721
34,-0.02929,-0.17103,0.04893
35,-0.02074,-0.15428,0.04502
36,-0.02267,-0.17893,0.05782
37,-0.02799,-0.16114,0.04158
38,-0.01207,-0.17182,0.05326
39,-0.06337999999999999,-0.17934,0.0599
40,-0.0201,-0.17658,0.056520000000000015
41,0.0005099999999999999,-0.20556,0.05269
42,-0.02671,-0.1752,0.04414
43,-0.036410000000000005,-0.17321,0.05341
44,-0.0371,-0.15026,0.05585
45,-0.013880000000000002,-0.1533,0.06251
46,-0.04433,-0.16889,0.0552
47,-0.04729,-0.20337,0.05093
48,-0.03869,-0.16316,0.05318
49,-0.01076,-0.1779,0.04535
50,-0.02833,-0.19063,0.056879999999999986
51,-0.0096,-0.14684,0.03952
52,-0.03715,-0.17392,0.04771
53,-0.02952,-0.15711,0.04335
54,-0.006509999999999999,-0.17172,0.034089999999999995
55,-0.0183,-0.16693,0.04813
56,-0.04654,-0.17232,0.05346
57,-0.03484,-0.2069,0.04633
58,-0.03081,-0.18417,0.04238
59,-0.03318,-0.18793,0.03472
60,-0.03663,-0.20238,0.05
61,-0.02405,-0.1547,0.02039
62,-0.03465,-0.18848,0.03788
63,-0.02345,-0.17513,0.051910000000000005
64,-0.04121,-0.13875,0.03311
65,-0.05474,-0.16554000000000002,0.04092
66,-0.02096,-0.18349,0.04048
67,-0.00813,-0.17504,0.02825
68,-0.04495,-0.1671,0.03563
69,-0.01129,-0.1576,0.028010000000000004
70,-0.0588,-0.1632,0.0217
71,-0.02178,-0.1782,0.02601
72,-0.01061,-0.15116,0.03001
73,0.0025,-0.19125,0.02057
74,-0.03743,-0.18164,0.0342
75,-0.01364,-0.19409,0.02661
76,-0.03425,-0.16088,0.03706
77,-0.04707,-0.19347,0.01471
78,-0.01737,-0.15437,0.01102
79,-0.00222,-0.16856,0.02207
80,-0.03664,-0.14781,0.01539
81,-0.01175,-0.18208,0.00953
82,0.01675,-0.18262,0.01596
83,-0.0224,-0.18602,0.01169
84,0.01896,-0.21595,0.03857
85,-0.02277,-0.15250999999999998,-0.04877
86,-0.01087,-0.19609,0.007940000000000001
87,0.01343,-0.17492,-0.02478
88,0.00424,-0.19079,-0.00213
89,0.04096,-0.19738,-0.05126
90,0.01144,-0.20003,-0.06867999999999999
91,0.03357,-0.18525,0.00917
92,0.01733,-0.18593,-0.04948
93,0.01886,-0.14451,-0.01687
94,0.04247,-0.17271,-0.00256
95,0.04237,-0.17039,0.03188
96,0.04072,-0.16217,0.01197
97,0.03117,-0.13477,0.0008900000000000002
98,0.01305,-0.1622,0.00672
99,0.02232,-0.1894,0.0035700000000000007
100,0.03657,-0.15583,0.01355
101,0.02717,-0.15132,-0.00059
102,0.02777,-0.18241,-0.00782
103,0.03089,-0.14562999999999998,0.01844
104,0.03288,-0.1581,0.01196
105,0.01968,-0.15447,0.01995
106,0.02185,-0.14934,0.03044
107,0.02143,-0.15800999999999998,0.02777
108,-0.01884,-0.16638,0.0155
109,0.02731,-0.1626,-0.00566
110,-0.018580000000000003,-0.15752,0.00056
111,-0.00594,-0.14561,-0.01741
112,0.00119,-0.16602999999999998,-0.00557
113,-0.00977,-0.18907,-0.02543
114,0.00692,-0.1728,-0.01935
115,0.03365,-0.18704,-0.0096
116,0.016319999999999998,-0.14939000000000002,-0.00943
117,0.03998,-0.20048,-0.0199
118,0.00729,-0.18281,-0.01922
119,0.01077,-0.20244,-0.03345
120,0.02384,-0.16274,-0.02807
121,0.00594,-0.17034000000000002,-0.0433
122,0.04946,-0.14098,-0.03726
123,0.03344,-0.17653,-0.03154
124,0.01968,-0.16166,-0.01817
125,0.02732,-0.15975,-0.01683
126,0.01194,-0.16248,-0.02221
127,-0.01701,-0.15070999999999998,-0.03627
128,-0.00848,-0.17618,-0.026910000000000003
129,0.007890000000000001,-0.15347,-0.04788
130,0.0101,-0.17425,-0.01994
131,0.00725,-0.16135,-0.02317
132,0.02362,-0.18959,-0.02174
133,-0.00232,-0.14845,-0.02367
134,0.01733,-0.17611,-0.01269
135,-0.03714,-0.16996,-0.01925
136,-0.00518,-0.20561,-0.01618
137,-0.0311,-0.17236,-0.00851
138,0.01504,-0.16365,-0.02821
139,0.00097,-0.16177,-0.01996
