,fore-aft,lateral,normal
0,-0.00018,0.40532,-1.91011
1,0.00576,0.37115,-1.91287
2,-0.00464,0.38275,-1.93197
3,-0.03092,0.4118600000000001,-1.91803
4,0.00469,0.42552,-1.91592
5,0.01902,0.42577,-1.91417
6,-0.01203,0.38893,-1.91869
7,0.00151,0.41438,-1.91394
8,-0.01695,0.38702,-1.9192
9,0.01241,0.39805,-1.90931
10,0.01754,0.40353,-1.92741
11,-0.03145,0.40655,-1.92964
12,0.02248,0.41585,-1.93605
13,0.01144,0.39097,-1.91647
14,0.00524,0.39251,-1.92326
15,0.00339,0.39909,-1.91045
16,0.0371,0.40865,-1.9185
17,0.01291,0.38631,-1.91511
18,0.00475,0.37317,-1.92462
19,0.00528,0.37698,-1.9152
20,-0.020630000000000003,0.40521,-1.92079
21,0.001,0.38707,-1.90438
22,0.0083,0.40318,-1.92244
23,-0.00578,0.38261,-1.91054
24,-0.00148,0.38495,-1.9214
25,0.03895,0.38318,-1.92485
26,-0.00655,0.38152,-1.90964
27,-0.0051,0.42188,-1.94337
28,0.01728,0.39486,-1.91697
29,0.03721,0.39254,-1.91342
30,-0.01249,0.4163,-1.913
31,0.0053,0.39874,-1.91137
32,-0.00912,0.37006,-1.9253
33,0.00514,0.37326,-1.92556
34,-0.017159999999999998,0.41072,-1.91808
35,-0.0076900000000000015,0.37679,-1.91932
36,-0.02342,0.38304,-1.91379
37,0.01343,0.40387,-1.91894
38,-0.01544,0.38434,-1.91888
39,-0.006679999999999999,0.39833,-1.91384
40,0.00219,0.41388,-1.92661
41,-0.02123,0.37084,-1.91728
42,-0.03337,0.38856,-1.91851
43,0.00534,0.39754,-1.9239
44,-0.03323,0.4182,-1.94011
45,-0.01322,0.37733,-1.92282
46,-0.03665,0.38138,-1.91714
47,-0.02972,0.40112,-1.93441
48,-0.02032,0.4112,-1.9247
49,-0.03467,0.40026,-1.94477
50,0.00264,0.39433,-1.93746
51,-0.03482,0.39228,-1.94936
52,-0.04029,0.39405,-1.94402
53,-0.02549,0.37629,-1.91917
54,-0.02622,0.40941,-1.93506
55,-0.05462,0.3912,-1.92914
56,-0.03711,0.39085,-1.94742
57,-0.034539999999999994,0.40588,-1.94272
58,-0.0289,0.41154,-1.94539
59,-0.06362999999999999,0.434,-1.94603
60,-0.03071,0.42371,-1.9454
61,-0.0507,0.40444,-1.9517400000000005
62,-0.07343999999999999,0.41439,-1.9634
63,-0.05767000000000001,0.43868,-1.94653
64,-0.0542,0.42474,-1.92925
65,-0.02597,0.41093,-1.93983
66,-0.0371,0.42808,-1.93844
67,-0.07036,0.40782,-1.9345900000000005
68,-0.04424,0.43826,-1.94616
69,-0.03949,0.39224,-1.94582
70,-0.03143,0.40469,-1.9205
71,-0.02447,0.4033,-1.93926
72,-0.00095,0.36817,-1.94228
73,-0.02139,0.39492,-1.93317
74,-0.04389,0.40026,-1.93218
75,-0.02093,0.36787,-1.92614
76,-0.04286,0.37743,-1.92616
77,-0.02072,0.39048,-1.94797
78,-0.02438,0.37427,-1.93496
79,0.00293,0.33248,-1.93026
80,-0.03103,0.36712,-1.91636
81,-0.00389,0.35265,-1.93079
82,0.0271,0.34595,-1.92118
83,0.01856,0.37131,-1.91441
84,0.01286,0.35588000000000003,-1.93107
85,0.00546,0.36134,-1.92997
86,-0.01702,0.37742,-1.92431
87,-0.00065,0.39744,-1.93397
88,0.00725,0.3367,-1.92643
89,-0.016040000000000002,0.35151,-1.92154
90,-0.01068,0.36821,-1.91767
91,-0.01764,0.38706,-1.93716
92,0.01389,0.35338,-1.92904
93,-0.01855,0.37414,-1.93007
94,-0.02068,0.3749,-1.93
95,-0.00576,0.37702,-1.92413
96,-0.02076,0.40146,-1.86345
97,0.02627,0.39411,-0.97356
98,0.11427,0.45085,-0.60629
99,0.23854,0.4673600000000001,-0.30119
100,0.39247,0.45854,0.41805
