,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,91.10352962326866,73.41798837204219,55.980197770495394
23,88.50243475591537,77.53629629572809,56.89590018094195
24,98.33538815292037,79.44295816417531,53.60083333224213
25,90.4141314806398,65.44220931747877,35.10935398451534
26,89.37259688175304,69.61457068926146,45.92627315561842
27,89.91078221251884,63.59188592416125,46.076161580863385
28,85.85292698295703,71.10080942388433,45.71002235745766
29,86.59124601944725,66.78200876830576,48.524923016304854
30,86.90125394963748,67.31977746661063,45.79935756295271
31,90.5875339253285,70.74313834400378,48.58213037050689
32,87.13676149473636,66.11392544626096,45.05444134023634
33,90.38128218050443,69.19370951962559,45.40328344773866
34,86.21419244327662,68.89888204550344,42.195109507318335
35,87.75179013904295,71.90149419861945,41.58060976222717
36,85.9166431604019,70.61032739093322,41.08420742517208
37,85.01949838326618,66.7757552884302,42.45754180194842
38,86.50655125143746,72.51353519183888,42.28606681941653
39,81.61613347092144,75.30651004758472,42.62225314574394
40,88.08647996550931,69.14311895420872,42.61365925284073
41,86.8366747883633,69.62512546791613,39.637022826966444
42,81.80246463296095,70.8779128552555,40.728895124757884
43,84.62103251156616,70.3365017096383,39.69650709304943
44,85.99068000447473,68.66613977794971,39.74140388734989
45,83.01584023289237,73.51567314598408,38.09251546664203
46,86.5478865854594,73.98856533949841,40.52746145865291
47,80.36073469761402,73.71366272173516,37.47537871634654
48,79.60021558012014,76.164842577824,34.8677461886289
49,79.11439564594068,74.37051394106712,33.560281671808156
50,78.21789254374264,76.39695158932872,32.39054896895047
51,74.86168296694028,70.82578116024156,32.19978975684984
52,75.76774818985977,73.99773143387357,31.767012594323205
53,69.38517773053661,79.95816760733058,31.591671951123033
54,65.49438627463135,83.86964651052061,29.64577375517129
55,69.60280335806713,81.99919687161042,30.186640140766315
56,69.03855195129383,72.60674468875439,35.72560802737189
57,63.854837917215576,69.00448754334967,30.14925017622369
58,67.66804448618277,70.34692615838155,24.171171080093615
59,64.89615545517302,79.08892899268886,27.069816567648644
60,68.58733491117844,78.6117611603146,32.175564302427716
61,65.46582804903073,69.7992907577955,30.30331495810529
62,65.13676561520404,80.72667289339428,35.96404471615688
63,65.4601896103884,82.09902407591785,40.64295069519591
64,68.48831626075916,82.9660993431205,44.07669380603053
65,75.08858793024658,90.49564385958297,42.69431648974847
66,65.65416824468787,81.15043438543893,38.61533311867706
67,75.93819482792894,90.21792730836786,43.14811305077902
68,66.85978735524776,79.63068113111892,38.4599291780919
69,65.25686103491505,74.20659297056417,39.21416184061184
70,55.887955976231055,66.1227231842652,18.540930238913262
