pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z
,,,,,,,,,33.430959,2.628305,13.78527,34.209041,2.377265,13.503919,33.684521000000004,0.897206,12.850651
,,,,,,,,,33.382118,2.674178,13.783589000000001,34.183857,2.443812,13.412516,33.682379,0.998033,12.732138
,,,,,,,,,33.362509,2.686273,13.783701,34.164131,2.461689,13.411117,33.675759,1.0024520000000001,12.736123
,,,,,,,,,33.305194,2.743077,13.748919,34.114661,2.505729,13.375403,33.669678000000005,1.008472,12.738794
,,,,,,,,,33.280564,2.740324,13.784229999999999,34.087375,2.516569,13.4028,33.661495,1.013728,12.74512
,,,,,,,,,33.247871999999994,2.725123,13.835306,34.053565,2.520665,13.449692,33.649965,1.021986,12.751147999999999
,,,,,,,,,33.222242,2.74949,13.825023000000002,34.028877,2.571622,13.430764000000002,33.635143,1.0355590000000001,12.75315
,,,,,,,,,33.165677,2.802754,13.771398999999999,33.981882,2.621959,13.392689,33.584361,1.098769,12.720599
,,,,,,,,,33.134676,2.812564,13.791547,33.95015,2.636413,13.414138000000001,33.560464,1.076083,12.767535
,,,,,,,,,33.056621,2.8654830000000002,13.772483,33.87234,2.696895,13.464576999999998,33.544226,1.1578600000000001,12.833347999999999
,,,,,,,,,33.032724,2.889222,13.776975,33.832988,2.744123,13.501616,33.540368,1.16838,12.855742999999999
,,,,,,,,,32.997848,2.9241770000000002,13.788306,33.817577,2.80701,13.428692999999999,33.491793,1.299333,12.790965
,,,,,,,,,32.922429,2.954977,13.77135,33.750894,2.886566,13.420032999999998,33.469167999999996,1.323532,12.788947
,,,,,,,,,32.839196,2.9913790000000002,13.743235999999998,33.696637,2.927827,13.361797,33.395097,1.396973,12.693896
,,,,,,,,,32.769301,3.042913,13.693732999999998,33.619352,2.905426,13.459857999999999,33.387628,1.430321,12.750341
,,,,,,,,,32.704392,3.029588,13.761660999999998,33.571047,2.957782,13.439142000000002,33.344039,1.388562,12.901322
,,,,,,,,,32.664495,3.064219,13.7838,33.489619,3.0026349999999997,13.473170999999999,33.268685,1.440684,12.91243
,,,,,,,,,32.582122999999996,3.115986,13.740322,33.426359999999995,3.0950990000000003,13.385143,33.190826,1.471824,12.926159
,,,,,,,,,32.483533,3.14682,13.736557000000001,33.366690000000006,3.175929,13.295546,33.156731,1.512828,12.869082
,,,,,,,,,32.400268,3.200095,13.693121,33.276889000000004,3.202614,13.416717000000002,33.077766,1.6005790000000002,12.801998
,,,,,,,,,32.310333,3.248902,13.716327,33.208934,3.302511,13.322501,33.062823,1.6522430000000001,12.780298
31.313131,5.509308,15.858754000000001,,,,31.960365999999997,5.501484,15.012114000000002,32.255860999999996,3.299868,13.67496,33.093896,3.3264339999999994,13.358431,32.966519,1.770536,12.694253
31.175207,5.619954,15.761617999999999,31.881560999999998,5.582153,15.825967000000002,31.858746999999997,5.587577,15.101091,32.248721,3.237673,13.877997,32.998963,3.364001,13.335999999999999,32.880005,1.8387069999999999,12.761579
31.084331,5.595887,15.827816,31.772714,5.64001,15.888014000000002,31.722542999999998,5.670391,15.127529000000001,32.120252,3.334001,13.752038,32.928810999999996,3.467142,13.238202,32.832651,1.864512,12.754121000000001
30.944503000000005,5.697285,15.73501,31.712701000000003,5.632708,15.9191,31.700409000000004,5.633114,15.196418,31.985883,3.421526,13.755776999999998,32.817161,3.434646,13.346764000000002,32.779229,1.9048669999999999,12.671289
30.93235,5.674894,15.92327,31.551671999999996,5.73241,15.794926,31.633876,5.60764,15.259746,31.870040000000003,3.516425,13.681951999999999,32.713423999999996,3.587339,13.379604999999998,32.619817,1.9738900000000001,12.702417
30.801858000000003,5.709814,15.896317999999999,31.467359000000002,5.816694999999999,15.775492000000002,31.492948,5.749665,15.150891,31.781771000000003,3.51195,13.735354999999998,32.620234,3.6358050000000004,13.307493,32.526424,2.077121,12.713057000000001
30.689162,5.794322,15.827581,31.307340999999997,5.851980999999999,15.677616,31.355898999999997,5.791384,15.094508,31.659273,3.6326739999999997,13.699145999999999,32.496427000000004,3.70926,13.33995,32.339079999999996,2.139401,12.645346
30.509514000000003,5.867498,15.736463,31.211708,5.850537,15.774335,31.237815,5.790275,15.113118,31.521077000000002,3.6467910000000003,13.769994,32.413856,3.8155040000000002,13.273794,32.253484,2.187198,12.693536
30.440779,5.850948000000001,15.863009,31.075225,5.913009,15.771894,31.102365000000002,5.8665519999999995,15.081733999999999,31.389877000000002,3.707837,13.737528,32.267808,3.9065410000000003,13.362287,32.219324,2.238141,12.646041
30.306254,5.976008,15.766001999999999,30.951853000000003,6.000661,15.715907000000001,30.972953999999998,5.9266879999999995,15.0749,31.257666999999998,3.812192,13.735626000000002,32.147543,3.963256,13.312041,31.997412,2.326406,12.638899
30.144126,6.057229,15.747992000000002,30.800393,6.072547,15.751867,30.810346999999997,6.002281,15.107970000000002,31.104654999999998,3.893588,13.700736,31.958484999999996,3.982987,13.44457,31.901938,2.47723,12.669838
30.046721999999995,6.059845,15.856309,30.647927000000003,6.130765,15.747498,30.670295,6.054658,15.108039999999999,30.947253999999997,3.993439,13.704151999999999,31.840438,4.1198690000000004,13.332916,31.758271999999998,2.429203,12.792663000000001
29.882240999999997,6.119367,15.838847,30.502103,6.1927900000000005,15.773997,30.525715,6.121908,15.123481,30.790863,4.082757,13.692482,31.687797999999997,4.20549,13.358239999999999,31.656765000000004,2.5715380000000003,12.640687
