,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,61.258129814591186,66.00515657732191,47.85282310529837
141,66.10514648376123,66.39792550033015,37.18739970475826
142,66.07227438931167,66.39545885163459,37.29941481410833
143,66.08610441059596,66.33353040348467,37.3157196933204
144,66.06516238943779,66.35446242288407,37.29888643437212
145,66.09156978381053,66.37366403580467,37.198207881927374
146,66.07772477643631,66.31122084149231,37.26987082627062
147,66.10527538756197,66.38380418169625,37.178924524228165
148,66.03776766274389,66.35446242288407,37.18739970475826
149,66.0915597520221,66.32516120636274,37.48214091081417
150,66.07784750814926,66.3678492213798,37.26972542808929
151,66.07337396083719,66.27905934177379,37.37003972011428
152,66.10527538756197,66.31249146483839,37.34338116327936
153,66.08567747300486,66.34191493179327,37.21356257595451
154,66.06521053612069,66.36035442641851,37.157868768044125
155,66.13838057432893,66.30581651656442,37.377734060308484
156,66.11786242560878,66.37150633372501,37.18758637650075
157,66.14409648650528,66.35445719673267,37.18758637650075
158,66.10341270403939,66.39200608184335,37.38130715581261
159,66.06512939463252,66.34854051697133,37.291985310666604
160,66.16974064086077,66.37941119849154,37.31830510246536
161,66.1575861537017,66.3425382875744,37.44749736783871
162,66.1838516385985,66.3400625622912,37.411083898892656
163,66.2222857982394,66.37408315759987,37.506650936920096
164,66.168266123532,66.42285833727763,37.133543485235975
165,66.35131249063531,66.44305013048127,37.39115317088741
166,66.46504032849681,66.46535134052267,37.45002055507837
