,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,61.93226688181398,44.96493064729404,52.12318068136841
110,62.82003573562694,45.403965985816114,53.20529602117868
111,64.08097032150597,45.332850900465644,51.28632596439388
112,62.548157108653925,44.6807081042123,53.89512453351122
113,62.45758077853226,43.97747258846141,53.922041158472396
114,62.7655737995128,44.46482341235705,53.594372585847196
115,62.706883112754205,44.853670379468156,53.42875679703057
116,63.74194164249059,44.829497834265965,54.847305303840116
117,63.57299805057112,43.82087277737784,51.74557933763893
118,63.9654680305995,44.86335895183015,50.4324048348777
119,64.70911189959018,45.88895077854457,48.945275148846235
120,64.17524983537804,47.44918118813882,54.640316208703936
121,64.52007746765706,46.07514723354046,55.193257451253956
122,65.0735776270757,45.02553492560514,54.03133013381439
123,64.70621773033592,44.683833133893046,51.071025648239356
124,65.37913861609563,44.24956494306946,52.68466370469751
125,65.17753123602955,44.173402826158906,54.41696856013283
126,65.58728738178934,45.08234144518272,57.15478896997324
127,65.60790615682636,42.70644058682262,58.62917632187887
128,67.11756768111445,43.04791092132638,57.32670027005736
129,68.09542588502559,43.115860951215694,57.35117928360488
130,67.47779353937244,43.55135257958045,57.86304088407283
131,67.07954618026443,44.04722429949476,55.33256356989085
132,67.9998082102189,44.52756579326487,57.383736070739616
133,68.03611985499292,44.63417208045533,60.560693984862695
134,68.63148974250683,41.98067982642826,60.62449698336974
135,68.42038276825762,41.29852003705909,60.64895649506251
136,69.28609816815576,42.16411586766313,54.915546028639696
137,69.2927309510262,40.615593557550454,61.749383676725714
138,69.22861372366832,42.638026119385586,63.144750939443895
139,69.66815481325563,37.279257358320535,69.13197696437867
140,69.51388617915713,38.11826722603084,64.31738309331743
