,fore-aft,lateral,normal
149,-0.10703,-0.12729,-0.26657
150,-0.1329,-0.11508,-0.23539
151,-0.11577,-0.11658,-0.23465
152,-0.11705,-0.13030999999999998,-0.23329
153,-0.13022999999999998,-0.11679,-0.22069
154,-0.12808,-0.17731,-0.22124
155,-0.15175,-0.12617,-0.22403
156,-0.12582000000000002,-0.10376,-0.24018
157,-0.1528,-0.13385,-0.24554
158,-0.13155999999999998,-0.11492,-0.22894
159,-0.12059,-0.12685,-0.23089
160,-0.11503,-0.13227,-0.22314
161,-0.13643,-0.1306,-0.22226
162,-0.13401,-0.11442,-0.22352
163,-0.12377,-0.13315,-0.21652
164,-0.15049,-0.14032,-0.21563
165,-0.16559,-0.13847,-0.21016
166,-0.10913,-0.15284,-0.21528000000000005
167,-0.10595,-0.16583,-0.20509
168,-0.1306,-0.17235,-0.21084
169,-0.12502,-0.14859,-0.20946
170,-0.14078,-0.13989,-0.20739
171,-0.15256,-0.12147,-0.2151
172,-0.14778,-0.13699,-0.22886
173,-0.14708,-0.15647,-0.22315
174,-0.10661,-0.13151,-0.2224
175,-0.15275999999999998,-0.14181,-0.19642
176,-0.16204000000000002,-0.16647,-0.21404
177,-0.14925,-0.15982000000000002,-0.22115
178,-0.16224,-0.14074,-0.20905
179,-0.13351,-0.12427,-0.21473000000000006
180,-0.14364000000000002,-0.14895,-0.21408
181,-0.16599,-0.16572,-0.21621
182,-0.13489,-0.16475,-0.21326
183,-0.12628,-0.13383,-0.21036
184,-0.13405,-0.14720999999999998,-0.21519
185,-0.15847,-0.15463,-0.21586
186,-0.16269,-0.15095999999999998,-0.20994
187,-0.11981,-0.15144000000000002,-0.20554
188,-0.13531,-0.13798,-0.19097
189,-0.15270999999999998,-0.12525999999999998,-0.21446
190,-0.15285,-0.18419,-0.2076
191,-0.16849,-0.14379,-0.21758
192,-0.13796,-0.12156,-0.21123000000000006
193,-0.15039,-0.18671,-0.20619
194,-0.12994,-0.13555,-0.21819
195,-0.13672,-0.15522,-0.20452
196,-0.15162,-0.13733,-0.20791
197,-0.15074,-0.15708,-0.20798000000000005
198,-0.13549,-0.12120999999999997,-0.21079
199,-0.1442,-0.17168,-0.21615
200,-0.14296,-0.12784,-0.21933
201,-0.13458,-0.14720999999999998,-0.20948000000000006
202,-0.14673,-0.12721,-0.20377
203,-0.12225,-0.13343,-0.21074
204,-0.14442,-0.12462,-0.20783
205,-0.15766,-0.12294,-0.21693
206,-0.13809000000000002,-0.13505,-0.21134
207,-0.13305999999999998,-0.12779,-0.20504
208,-0.11652,-0.12653,-0.20204
209,-0.10909,-0.13389,-0.22796
210,-0.13918,-0.17099,-0.21631
