ID,Hop Number,Hop Length,Hop Phase,Sight,Max Extension,Max Protraction,Max Elevattion,Max Flexion,Max Retraction,Max Depression,Phase Duration (s),Initial Elb,Initial Pro/Ret,Intial Elev/Dep,Final Elb,Final Pro/Ret,Final Elev/Dep,Mean Elb,Mean Pro/Ret,Mean Elev/Dep,Hop Duration,Elb Ang Vel,HPR Ang Vel,HED Ang Vel,Hop Duration (s),Max Extension-Max Flexion
Gelos,47,SM,Impact Prep,Blind,91.06139942,97.20438814,136.7373256,66.57504856,60.30256849,125.4602553,39,67.57314928,62.96702353,131.3987257,89.11586453,94.33689249,128.488834,78.55370254,81.83689688,130.7567562,216,-276.188657,-402.1778071,37.30630417,0.078,
Gelos,47,SM,Landing,Blind,88.60289932,91.94202585,139.4198246,57.8771533,39.70345289,121.0957135,68,88.60289932,91.94202585,127.2752345,78.28911621,40.32462966,122.2067345,71.84281232,57.06291302,128.4975445,216,75.83664055,379.5396779,37.26838232,0.136,
Gelos,48,M,Initiation,Blind,82.7514356,51.43215478,129.9015776,49.48573009,25.07289749,110.3276304,71,53.51928702,45.96960839,125.9024652,64.49963986,33.63758631,121.8153939,66.65799158,37.6655774,119.7053295,186,-77.32642848,86.84522592,28.7821924,0.142,
Gelos,48,M,Forelimb LO,Blind,69.16994682,67.29966308,135.1281362,59.51294035,30.86363833,118.8300239,28,64.3797057,37.57377066,121.7658316,65.6142358,66.20206559,125.5950941,64.90134643,50.80646416,126.5673843,186,-22.04518022,-511.2195522,-68.37968655,0.056,
Gelos,48,M,Impact Prep,Blind,89.2813362,95.62180449,135.0329917,66.98644273,67.40358092,121.0701458,26,69.96383899,72.65324391,122.7364157,89.2813362,95.62180449,127.0692546,78.13596026,84.4637216,126.7959792,186,-371.490331,-441.7030881,-83.32382514,0.052,
Gelos,48,M,Landing,Blind,88.63922858,96.08315335,135.670779,54.74664646,37.64105462,119.0635779,61,88.40363724,94.18086801,129.4397526,64.84380544,42.52659472,119.6568025,66.01451109,57.88523274,126.7093382,186,193.1133754,423.3956827,80.18811567,0.122,
Gelos,50,M,Initiation,Blind,70.31313493,50.95576895,126.0635487,48.52103489,37.2393177,113.3384478,53,48.52103489,44.35487423,125.628527,66.07418278,41.64247625,119.7387172,58.54942077,44.41418616,119.9020605,221,-165.5957348,25.58866023,55.564243,0.106,
Gelos,50,M,Forelimb LO,Blind,67.51375993,63.04777065,141.1319862,51.46653,38.93514261,120.8774045,42,65.20463762,44.15295713,122.4834434,57.76760316,62.05328275,141.1319862,58.38995952,49.88406578,129.2795726,221,88.53612451,-213.0991145,-222.0064624,0.084,
Gelos,50,M,Impact Prep,Blind,90.58350414,89.49449574,144.9255174,61.01347537,62.33691606,124.1686234,47,62.25611355,62.33691606,133.9351312,89.50533105,83.27423344,133.5819227,76.54850241,79.80435803,135.8885684,221,-289.8852925,-222.7374189,3.757536384,0.094,
Gelos,50,M,Landing,Blind,89.55236593,85.51639837,141.0039609,50.93039444,45.85127571,124.2648903,79,89.55236593,85.51639837,131.0843178,65.5759271,52.12004967,128.4841818,66.13840324,59.73641268,132.3576716,221,151.7496129,211.3692955,16.45655694,0.158,
