pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z
6.43405,4.136957,11.098091,7.051724,4.1977,11.488853,7.116332000000001,4.165767,10.495877,8.151507,2.0457389999999998,9.376855,9.240045,2.346243,8.835751,8.66393,0.441188,8.599915
6.433084,4.134663,11.099244,7.051433,4.187396,11.48317,7.110239,4.166665,10.48392,8.150925,2.0467299999999997,9.375428,9.239458,2.347226,8.834336,8.663343,0.442191,8.598493
6.432030999999999,4.133419,11.101289,7.050597,4.1864230000000004,11.484736999999999,7.098953,4.193156,10.47317,8.149347,2.0459169999999998,9.375596,9.238702,2.3474009999999996,8.832963000000001,8.663343,0.442191,8.598493
6.4310220000000005,4.13165,11.102888,7.049592,4.184646,11.486349,7.098304,4.187188,10.471194,8.148765,2.046908,9.374169,9.237298,2.347393,8.833097,8.66235,0.440366,8.600083999999999
6.430226,4.130155,11.104001,7.0485869999999995,4.182869999999999,11.487961,7.101727,4.1825849999999996,10.487848,8.147986999999999,2.0454,9.375267,9.237298,2.347393,8.833097,8.66235,0.440366,8.600083999999999
6.4300120000000005,4.129881,11.104488,7.032748,4.2281010000000006,11.470814,7.100725,4.180816,10.489443,8.147405000000001,2.04639,9.37384,9.235894,2.347384,8.83323,8.66235,0.440366,8.600083999999999
6.428163,4.127142,11.107645,7.0496479999999995,4.193485,11.52116,7.099723,4.179047,10.491037,8.145827,2.045578,9.374008,9.235306,2.3483669999999996,8.831816,8.66235,0.440366,8.600083999999999
6.4277239999999995,4.124393,11.110691000000001,7.0496479999999995,4.193485,11.52116,7.098889,4.178077,10.492591000000001,8.145779,2.046095,9.374458,9.234505,2.349061,8.830884,8.66235,0.440366,8.600083999999999
6.426984,4.124573000000001,11.109286,7.048642999999999,4.1917089999999995,11.522772,7.0977179999999995,4.175508,10.494226,8.144419000000001,2.045578,9.374130000000001,9.233735000000001,2.3475509999999997,8.831991,8.661763,0.44136899999999996,8.598662
6.426715,4.122624,11.11229,7.0541089999999995,4.160627,11.517953,7.0977179999999995,4.175508,10.494226,8.144249,2.044765,9.374176,9.233147,2.348533,8.830575999999999,8.661528,0.43936000000000003,8.601628999999999
6.426546,4.121825,11.112331,7.048708,4.177129,11.513454,7.096716000000001,4.173739,10.495821000000001,8.143666,2.0457560000000004,9.372749,9.232331,2.347542,8.832124,8.661763,0.44136899999999996,8.598662
6.425135,4.121835,11.112444,7.0471580000000005,4.184691,11.522310000000001,7.096716000000001,4.173739,10.495821000000001,8.143666,2.0457560000000004,9.372749,9.231743,2.348525,8.83071,8.661528,0.43936000000000003,8.601628999999999
6.425091,4.12236,11.112889,7.046633,4.188157,11.525997,7.0958820000000005,4.172769000000001,10.497374,8.142259,2.0457560000000004,9.372871,9.231743,2.348525,8.83071,8.660942,0.440363,8.600207000000001
6.42284,4.1214,11.11456,7.045797,4.187183999999999,11.527564,7.094214999999999,4.1708300000000005,10.500482,8.141459,2.046452,9.371939999999999,9.230895,2.349738,8.830219999999999,8.660892,0.44088,8.600658000000001
6.420195,4.117166,11.118831,7.040027,4.175165,11.505894,7.092254,4.158721,10.498041,8.13901,2.049764,9.369612,9.227309,2.35447,8.824653999999999,8.660355000000001,0.441367,8.598784
6.418916,4.113447,11.123435,7.038185,4.172415,11.509072999999999,7.090249000000001,4.155182,10.501231,8.135856,2.052736,9.365453,9.224142,2.35741,8.820544,8.658897,0.441881,8.599359
6.4154860000000005,4.109918,11.126747,7.036175,4.168863,11.512298,7.082969,4.1593089999999995,10.494399000000001,8.133041,2.052737,9.365697,9.221564,2.3593669999999998,8.817849,8.65831,0.44288500000000003,8.597936
6.414207,4.106199,11.131350999999999,7.033496,4.16514,11.517045,7.0801300000000005,4.1548,10.499141999999999,8.129472999999999,2.052915,9.364559,9.218649000000001,2.3597080000000004,8.815236,8.657539,0.441362,8.599029
6.410947,4.10347,11.134622,7.026967999999999,4.170362,11.508429,7.07746,4.15109,10.503844,8.126438,2.051942,9.361514999999999,9.215361,2.361321,8.810725,8.65678,0.441546,8.597653999999999
6.409542,4.098425,11.138822,7.011073,4.191523,11.476228,7.071013000000001,4.156187999999999,10.495457,8.124325,2.051603,9.359805999999999,9.212783,2.3632779999999998,8.80803,8.65678,0.441546,8.597653999999999
6.406068,4.095422,11.14258,7.008394,4.187802,11.480972999999999,7.066986,4.154909,10.505325,8.121947,2.051487,9.359043,9.209807000000001,2.362454,8.808338000000001,8.655909,0.441057,8.59965
6.403422,4.091186,11.146852,7.0063830000000005,4.18425,11.484196,7.064147,4.1504,10.510067999999999,8.119835,2.051148,9.357334,9.208464999999999,2.363611,8.80555,8.655909,0.441057,8.59965
6.399552,4.084907,11.153210000000001,7.002699000000001,4.1787529999999995,11.490552000000001,7.0512559999999995,4.160597,10.493294,8.116389999999999,2.052657,9.3566,9.205022999999999,2.365097,8.804844000000001,8.653964,0.441542,8.597899
6.396692,4.0803970000000005,11.157969,7.00002,4.175032,11.495298,7.0249619999999995,4.175733999999999,10.429235,8.114230000000001,2.052836,9.35534,9.202277,2.366246,8.80219,8.653964,0.441542,8.597899
6.3909720000000005,4.071377,11.167488,6.982832000000001,4.184113,11.459026,6.996308,4.1590300000000004,10.464822,8.111245,2.0520240000000003,9.355628999999999,9.197167,2.369642,8.796358,8.654551,0.440538,8.599321
6.365078,4.039062,11.214438000000001,6.970621,4.195526999999999,11.440233000000001,6.982360000000001,4.181824,10.458767,8.107725,2.051685,9.354041,9.182818,2.3888830000000003,8.764097,8.653192,0.44001899999999994,8.598991999999999
6.362404,4.032495,11.221176,6.946508000000001,4.165087000000001,11.48426,6.980016,4.176689,10.462035,8.102994,2.053846,9.350049,9.179423,2.38985,8.76295,8.650976,0.440717,8.598189999999999
6.358802,4.028164,11.22453,6.942653,4.158787,11.490661,6.976172,4.170415,10.468366,8.081894,2.077326,9.305989,9.175861,2.390009,8.761842999999999,8.650976,0.440717,8.598189999999999
6.354734,4.020908,11.227561,6.939635000000001,4.153459,11.495495,6.969764,4.163917,10.453,8.077549000000001,2.075998,9.305947999999999,9.173703,2.390176,8.760603,8.650153999999999,0.439712,8.599735
6.339405,4.006285,11.195651,6.935611,4.146355000000001,11.501941,6.964549000000001,4.145194999999999,10.45696,8.07352,2.073903,9.308278,9.170094,2.390854,8.759938,8.649617,0.44019899999999995,8.597861
6.308016,4.0499160000000005,11.120175,6.932592999999999,4.141026999999999,11.506776,6.962542999999999,4.141659,10.460144999999999,8.069491000000001,2.0718080000000003,9.310609,9.166302,2.389041,8.761792,8.648037,0.439377,8.59803
6.293432,4.063552,11.087814999999999,6.9230149999999995,4.113505,11.517385,6.959532,4.136353,10.464924,8.064928,2.070186,9.311063,9.162107,2.390701,8.759712,8.646628999999999,0.439375,8.598152
6.291411,4.060014,11.091012,6.920833999999999,4.10915,11.520653,6.962314999999999,4.119973,10.476118,8.058761,2.066067,9.314161,9.157666,2.388706,8.763072,8.646092,0.439862,8.596278
6.289219999999999,4.055676999999999,11.094249000000001,6.917984,4.104623999999999,11.525442,6.960308,4.116435,10.479303999999999,8.034102,2.035634,9.353406,9.154691,2.387883,8.763378,8.644635000000001,0.44037600000000005,8.596852
6.286188,4.050369,11.099043,6.910642,4.1030050000000005,11.514828999999999,6.9572970000000005,4.111128,10.484084,8.030071000000001,2.0335389999999998,9.355736,9.149663,2.38687,8.765324,8.643226,0.440374,8.596975
6.284336,4.047630000000001,11.102199,6.9086289999999995,4.099451999999999,11.518052,6.942713,4.119308999999999,10.441908999999999,8.026914999999999,2.031917,9.356069,9.144191000000001,2.383596,8.770712,8.643276,0.43985799999999997,8.596523
6.280632,4.042152,11.108511,6.904941,4.093953,11.524409,6.939871000000001,4.114802,10.446647,8.023806,2.029777,9.355951,9.109893,2.34469,8.826972,8.640523,0.441043,8.593847
6.279779,4.035675,11.106834,6.880249000000001,4.121758,11.461338,6.933973,4.110707,10.431151,8.020479,2.027342,9.356328999999999,9.106917,2.343867,8.827278,8.640460000000001,0.439853,8.596767999999999
6.276747,4.030367,11.111628999999999,6.8765600000000004,4.116261,11.46769,6.9311300000000005,4.1062,10.435888,8.016448,2.025248,9.358659,9.104543,2.343746,8.826519000000001,8.639652,0.440554,8.595844
6.269815,4.0339540000000005,11.105580999999999,6.873709,4.111737000000001,11.472477,6.928288,4.101692,10.440626,8.012780000000001,2.0211900000000003,9.359128,9.101797999999999,2.344897,8.823863000000001,8.638342999999999,0.43951899999999994,8.595063
6.262713,4.036741999999999,11.099573,6.870189,4.107042,11.478785,6.921013,4.105827,10.433786999999999,8.007677000000001,2.014063,9.358395,9.098989999999999,2.3448830000000003,8.824127,8.636935000000001,0.439517,8.595185
6.230848,4.0754790000000005,11.022386000000001,6.861654,4.108722,11.473383,6.918002,4.1005199999999995,10.438564999999999,8.005101,2.01145,9.360154,9.096244,2.346034,8.82147,8.636935000000001,0.439517,8.595185
6.2289959999999995,4.072742,11.025539,6.85981,4.1059730000000005,11.476559,6.915328,4.096812,10.443261999999999,8.001992,2.009311,9.360036000000001,9.094085,2.346202,8.820228,8.635712,0.44204,8.592792
6.225292,4.067267,11.031844,6.850606,4.107483,11.472678,6.913010000000001,4.0889050000000005,10.444383,7.9998320000000005,2.009491,9.358774,9.091925999999999,2.3463700000000003,8.818987,8.634891,0.44103400000000004,8.594336
6.2225980000000005,4.06356,11.036553,6.834849,4.128487000000001,11.447434,6.900486999999999,4.094918,10.424024000000001,7.997625,2.01019,9.357961999999999,9.08895,2.345548,8.819291999999999,8.633311,0.440213,8.594505
6.219735,4.059054,11.041303,6.832210000000001,4.124243,11.451725999999999,6.8940470000000005,4.100023,10.415633999999999,7.995513000000001,2.0098529999999997,9.35625,9.086250999999999,2.34618,8.816193,8.633897,0.439209,8.595928
6.216871,4.0545480000000005,11.046054,6.828477,4.1192720000000005,11.458524,6.891916999999999,4.087123,10.413214,7.993764,2.0082310000000003,9.356461,9.085032,2.348666,8.813805,8.632539,0.438691,8.595597999999999
6.206036,4.061523,11.025932000000001,6.8263679999999995,4.114572,11.464714,6.8795660000000005,4.093938,10.392813,7.991557000000001,2.00893,9.355648,9.083245,2.347562,8.814461,8.631902,0.44021099999999996,8.594628
6.203342,4.057817,11.030641000000001,6.822008,4.108906,11.472586,6.876892,4.090231,10.397506,7.989567999999999,2.009923,9.354341,9.080668,2.3495209999999997,8.811763000000001,8.631952,0.439694,8.594176
6.196758,4.06548,11.026394999999999,6.804405,4.088476999999999,11.505469,6.870097,4.099531,10.392697,7.988523,2.008639,9.356383000000001,9.079913000000001,2.349697,8.810389,8.629908,0.441212,8.593327
6.192381,4.059836,11.034216,6.8008820000000005,4.083782,11.511777,6.86504,4.102279,10.407648,7.9872380000000005,2.009292,9.353124000000001,9.077923,2.350673,8.809106,8.630494,0.440208,8.59475
6.168819999999999,4.032696,11.077792,6.799345,4.0824620000000005,11.51149,6.843325,4.0770800000000005,10.447975,7.985078,2.009473,9.351861999999999,9.075177,2.351824,8.806449,8.629136,0.43968999999999997,8.59442
6.167808,4.030928,11.07939,6.798197999999999,4.08006,11.51652,6.8414850000000005,4.074342,10.451119,7.98445,2.010983,9.350883999999999,9.074375999999999,2.352519,8.805516,8.628549000000001,0.440694,8.592998
