,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,78.59373816412337,55.22295837591791,58.18784972520439
130,79.8857798958045,53.867956978997114,58.84595736325838
131,78.54064390492509,54.4050351241649,57.117817658326345
132,78.3941675149379,53.579511071278574,56.24294729597544
133,78.13246965350623,53.09191697600872,55.2487962047699
134,78.54002277729556,54.32134614586356,55.86982194499795
135,79.87412550165581,54.978593229088006,56.353496143917496
136,80.3940686734112,54.89631718400612,56.596413834523815
137,80.78021687328294,55.35739369903523,56.15153863122758
138,81.19935883259019,55.51203028485169,58.17992664355505
139,82.3867918411117,54.09454701402858,58.961342008915466
140,83.07038951844896,53.69252708756035,58.94807750513178
141,82.96882328174361,52.98236511276937,58.514444474510256
142,82.92832326539867,52.61625153295796,57.8393961156053
143,84.29962243927191,53.38221498014913,58.102072159249204
144,84.32529432232803,52.479368453537575,58.19959416697766
145,85.11640320927052,51.18470003504902,58.441319399600445
146,86.04352472413352,52.4310995376871,61.24016788831982
147,86.78022683088909,53.339556496517886,60.16372906254206
148,88.8113745331525,53.71035529493871,60.98039271204452
149,88.62711345133128,53.981481529933006,58.6590448244674
150,89.4086272410249,53.27945886770807,59.105814487641965
151,87.31645917693045,53.82277569567654,57.431697190849874
152,89.48140739496606,52.1043657143661,58.838348288797704
153,89.61386623903141,54.81024166357997,58.91365493457077
154,89.18789929885594,56.367812640069644,58.447378553457625
155,90.67292194825009,55.20718246155418,59.010826439360585
156,90.67136172923395,54.728356589155894,58.57148208139694
157,91.47262131709988,53.64643306821027,58.31630518119992
