,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,87.13124822744713,29.127168485578352,61.20650306877026
120,88.56680252687266,31.465063819821694,61.346832333453335
121,88.70708248678852,33.40575541594731,63.94181604878317
122,89.15864196780535,32.445334474161484,66.18223545617086
123,88.2614525503645,35.96852739092208,60.28748775957283
124,90.5007703191868,35.58138678049443,64.20766262810677
125,91.03366669194641,28.708516951731525,66.94661473316371
126,90.00630988783301,32.692537185250046,63.90563411523128
127,90.62616823410599,30.538098588872174,67.39488795016194
128,91.90988751837459,30.758539039154158,66.82557180842377
129,91.79930672183215,34.29898760115799,65.31406826609165
130,91.2589573988438,31.033993026425605,65.37293213948584
131,89.82713850359542,35.3409442415099,62.59685439569762
132,90.04292242483864,34.0963894835439,62.491793404962564
133,91.27422003988362,31.23940446054118,62.47619382086367
134,92.85001928326207,25.824917506459002,69.41085570383802
135,91.33742610428015,26.052579639764673,64.63709257300444
136,89.78828788236757,25.278379174270384,65.65203217764576
137,90.08057166523236,24.915356752126513,65.59096375274207
138,90.4071080565412,20.54369701283224,65.29765954115199
139,90.96427964987562,26.08450660998443,66.12342812346506
140,91.76872248889157,23.52348609582907,65.49335081854741
141,91.69295609326498,19.507862107701357,66.05172405392301
142,90.95109963942656,24.607681427202863,64.87363748478283
143,92.17068198661727,26.90029132848784,62.83352624974302
144,93.69238075323669,24.232490858348996,65.48219879945864
145,93.42915851106766,27.894216223526314,65.79205415253882
146,94.06307904772326,33.71272047651286,67.15019838247063
147,91.8868253208919,32.67110246115945,65.37156984171217
148,92.5878649483997,30.768037449434786,63.77588310771827
149,91.27624184735988,26.259077559364954,67.76621339857365
