ID,Hop Number,Hop Length,Hop Phase,Sight,Max Extension,Max Protraction,Max Elevation,Max Flexion,Max Retraction,Max Depression,Phase Duration,Initial Elb,Initial Pro/Ret,Intial Elev/Dep,Final Elb,Final Pro/Ret,Final Elev/Dep,Mean Elb,Mean Pro/Ret,Mean Elev/Dep,Hop Duration,Elb Ang Vel,HPR Ang Vel,HED Ang Vel,Hop Duration
Atlas,2,S,Initiation,Sighted,110.0845611,77.3422880073601,132.284208657637,71.97482117,56.2077577218549,107.367050762735,52,71.97482117,74.8577339778353,125.947429418687,101.7302269,61.558220300097,115.670197361798,91.3726284748077,68.3040008105759,120.392525113066,196,-286.109670480769,127.879939209023,98.8195390085454,0.104
Atlas,2,S,Forelimb LO,Sighted,98.47765198,102.865338358497,142.402741183765,62.35289924,61.558220300097,115.670197361798,29,98.47765198,61.558220300097,115.670197361798,62.35289924,102.865338358497,138.52369308392,73.65689288,77.3613720100952,128.700234079508,196,622.840564482759,-712.191690662064,-394.025788312452,0.058
Atlas,2,S,Impact Prep,Sighted,117.8969713,133.152612488778,140.729286155601,65.14454012,96.010211833338,112.118925192631,55,65.14454012,102.865338358497,138.52369308392,110.9815363,126.606261833889,129.266333158097,98.6287739,118.312839844001,124.028474344938,196,-416.699965272727,-215.826577049019,84.1578175074793,0.11
Atlas,2,S,Landing,Sighted,105.8434555,130.544851974175,140.494864324513,62.00895904,62.7448458009617,119.457810701331,60,105.6767836,126.606261833889,129.266333158097,80.88159028,94.85054518,60.84966559,74.8541689936667,85.2610449227065,128.074686872525,196,206.626611,264.63097211574,570.138896400812,0.12
Atlas,5,S,Initiation,Sighted,94.06942784,76.9628945393101,129.119369447986,77.03313329,61.7861058237657,122.915614191613,61,77.55411769,66.9594839893934,124.360651904118,91.25483394,76.9628945393101,125.654810269202,86.3402373609836,70.3768190851823,126.251595465926,221,-112.300952868852,-81.9951684419398,-10.6078554515086,0.122
Atlas,5,S,Forelimb LO,Sighted,89.77541064,94.6118319297078,143.838826908332,59.76344572,66.3956408915669,124.486063488853,39,89.77541064,76.1937980449525,124.486063488853,59.77311284,93.1063120611406,143.370207948056,71.8929472523077,78.6550659778269,132.999390176667,221,384.644843589744,-216.827102771643,-242.104416143625,0.078
Atlas,5,S,Impact Prep,Sighted,111.8629295,132.344991751688,146.996982996142,60.86300542,90.6182149249537,111.50623021681,83,61.06479356,94.6603387031881,145.464504200293,108.159414,129.696033474721,117.304980797209,86.9505974893976,116.970080833532,128.630677895944,221,-283.702532771084,-211.05840223815,169.635683151109,0.166
Atlas,5,S,Landing,Sighted,103.1561995,128.71291446372,144.812695328515,60.95862533,84.7135275066358,117.138156537517,38,103.1561995,125.847365681143,119.374363616229,64.81914562,91.1364052473934,136.780756621878,72.8654801289474,108.082517468386,134.224035027538,221,504.434919473684,456.723163601968,-229.031486916437,0.076
Atlas,9,M,Initiation,Sighted,91.1609594325727,78.4006884998578,133.571295289804,77.2075196397465,64.407786322091,119.455876714798,26,79.436015155625,74.4992755440672,126.424706283502,89.3494872938074,68.2096045740341,122.818809393491,84.028409335857,72.0791762880391,127.613510433892,201,-190.643694965046,120.955210962176,69.3441709617486,0.052
Atlas,9,M,Forelimb LO,Sighted,88.1606180837591,101.930730744126,148.556659692332,57.296441516464,65.9019930132429,124.69950341678,34,88.0615008495819,72.6553759172375,125.32428495781,59.2614816963028,101.930730744126,147.158137125146,70.1324973471463,81.7486671485974,135.259555115928,201,423.529693430576,-430.519923924832,-321.086061284344,0.068
Atlas,9,M,Impact Prep,Sighted,115.973149557087,143.981838855435,155.755616172134,60.1228806994043,96.8173710142333,117.572203352332,72,60.3239491040073,102.44108534725,146.540913218332,115.973149557087,143.589848212001,121.288542610382,89.3692620104976,126.747636409902,135.701817866085,201,-386.452780924162,-285.755297671884,175.363684777429,0.144
Atlas,9,M,Landing,Sighted,115.117513117933,143.777966187012,141.034403083222,68.4403452814323,71.522540079603,118.06331360893,69,115.117513117933,140.91459261028,118.06331360893,78.4760800094556,74.7138010690947,124.838540610851,77.4450509010548,94.0479921019314,127.204436502117,201,265.517631220854,479.715880733228,-49.0958478400111,0.138
Atlas,13,L,Initiation,Sighted,83.0119542065215,69.9543905367229,124.320652836111,74.3219802094487,56.3675539702208,113.857754994636,42,75.3011220014671,60.447903293706,119.03214816613,77.901189102426,63.7665630551608,122.873295431688,78.6388207212468,62.3881779319883,119.44097459009,211,-30.9531797733205,-39.5078543030333,-45.7279436375967,0.084
Atlas,13,L,Forelimb LO,Sighted,75.6200133586665,102.333933988818,155.802045241621,60.3882838103173,57.1551182087102,120.36034439894,46,75.6200133586665,63.5455446941899,123.495871799511,61.9629049627842,101.571613701996,155.736980496035,65.2866965190909,81.1541220435607,137.613894954928,211,148.446830390025,-413.326837041374,-350.446833657878,0.092
Atlas,13,L,Impact Prep,Sighted,123.951005690882,145.73051004069,156.979353987456,62.5443537804867,102.213815026536,115.896175023244,84,62.5443537804867,102.213815026536,153.042621102194,105.086956233975,145.73051004069,132.38698647397,95.2662970569233,130.764988120468,137.653580185789,211,-253.229776508858,-259.027946512821,122.950206120381,0.168
Atlas,13,L,Landing,Sighted,104.706256312335,141.099794289842,148.586258664042,79.6285008427936,89.280882715582,126.036369812445,39,104.706256312335,141.099794289842,135.869705954226,81.5515418688476,90.0828298867756,129.401480092458,84.8644516094236,111.023630645719,135.879271869323,211,296.855313378042,654.063646193154,82.9259725867717,0.078
