,fore-aft,lateral,normal
160,1.08136,-0.18037,-0.24368
161,1.1179999999999999,-0.15730999999999998,-0.24583
162,1.06886,-0.17185,-0.25807
163,1.1043,-0.15762,-0.24987
164,1.10024,-0.15382,-0.26865
165,1.0939,-0.18397,-0.26713000000000003
166,1.12501,-0.19573,-0.25154
167,1.07366,-0.15745,-0.25794
168,1.09041,-0.16693,-0.26408000000000004
169,1.07446,-0.147,-0.2538
170,1.11759,-0.12463,-0.25498000000000004
171,1.0647,-0.15392,-0.24401
172,1.08069,-0.15635,-0.24718
173,1.09986,-0.15152000000000002,-0.25241
174,1.08663,-0.13840999999999998,-0.25291
175,1.08016,-0.1555,-0.25333
176,1.07916,-0.09798,-0.24861
177,1.0672700000000002,-0.14712999999999998,-0.24999
178,1.07011,-0.15680999999999998,-0.24913
179,1.07856,-0.17395,-0.23998000000000005
180,1.06126,-0.16027,-0.23805
181,1.0652700000000002,-0.17004,-0.2357
182,1.0808,-0.14403,-0.24923
183,1.11067,-0.16474,-0.25654
184,1.0653700000000002,-0.16713,-0.25454
185,1.0901,-0.14389000000000002,-0.2467
186,1.06419,-0.14311,-0.27467
187,1.0648,-0.13804,-0.27244
188,1.05657,-0.16313,-0.25552
189,1.07338,-0.14059000000000002,-0.25004
190,1.07718,-0.11769,-0.24596
191,1.07036,-0.17057,-0.25093000000000004
192,1.05889,-0.14974,-0.25191
193,1.06893,-0.14932,-0.25872
194,1.07905,-0.17978,-0.26837
195,1.03566,-0.17167000000000002,-0.2457
196,1.05675,-0.15738,-0.27384000000000003
197,1.07424,-0.12702,-0.2431
198,1.07591,-0.1485,-0.25985
199,1.05895,-0.151,-0.25628
200,1.06864,-0.16005999999999998,-0.25818
201,1.0622,-0.13587,-0.2563
202,1.05944,-0.17357999999999998,-0.25438
203,1.08829,-0.17294,-0.25362
204,1.06346,-0.17636,-0.27137
205,1.06447,-0.15985,-0.2759
206,1.06192,-0.13738,-0.25063
207,1.063,-0.16549,-0.25212
208,1.0556,-0.13217,-0.24427
209,1.04075,-0.14783,-0.25404
210,1.10106,-0.17060999999999998,-0.24956
211,1.07935,-0.14647000000000002,-0.27074000000000004
212,1.0714,-0.16084,-0.25182
213,1.08244,-0.1476,-0.25071
214,1.05526,-0.17864000000000002,-0.26163000000000003
215,1.068,-0.17369,-0.26221
216,1.04843,-0.15250999999999998,-0.24683
217,1.05366,-0.16982,-0.25521
218,1.0625,-0.15606,-0.26335
219,1.0638,-0.16079000000000002,-0.25607
220,1.08179,-0.17435,-0.25073
221,1.07011,-0.15311,-0.25071
222,1.06758,-0.1327,-0.24758
223,1.05801,-0.14052,-0.24928000000000006
224,1.04559,-0.16964,-0.25684
225,1.04548,-0.15327000000000002,-0.2445
226,1.06819,-0.13957,-0.23375
227,1.06519,-0.1583,-0.24553000000000005
228,1.06188,-0.16335999999999998,-0.25109000000000004
229,1.06627,-0.16397,-0.24901
230,1.08252,-0.14582,-0.25999
231,1.06453,-0.15392999999999998,-0.2442
232,1.03758,-0.14987,-0.24836
233,1.05764,-0.12897999999999998,-0.2523
234,1.06679,-0.17668,-0.25052
235,1.06458,-0.13931,-0.25172
236,1.0885,-0.14744000000000002,-0.24134
237,1.04753,-0.16616,-0.24600000000000002
238,1.06876,-0.12544,-0.25164000000000003
239,1.07134,-0.14525,-0.24092
240,1.08357,-0.13268,-0.24232
241,1.07049,-0.136,-0.25296
242,1.0836,-0.14592,-0.24565
243,1.04698,-0.15857000000000002,-0.24444
244,1.07236,-0.18069,-0.25066
245,1.05776,-0.11086,-0.24276
246,1.08111,-0.17534,-0.23737
247,1.08354,-0.14115,-0.25981
248,1.04581,-0.13218,-0.24523000000000006
249,1.07553,-0.15786,-0.25529
250,1.06108,-0.16705,-0.25166
251,1.07097,-0.1511,-0.25202
252,1.03757,-0.15967,-0.25672
253,1.07839,-0.13689,-0.23789
254,1.09156,-0.15186,-0.24728000000000006
255,1.06145,-0.14240999999999998,-0.26151
256,1.05729,-0.1566,-0.24548000000000006
257,1.0562200000000002,-0.13627999999999998,-0.25311
258,1.03057,-0.16544,-0.24193
259,1.079,-0.15437,-0.25696
260,1.07817,-0.14595,-0.23992
261,1.07238,-0.16228,-0.26594
262,1.07836,-0.1577,-0.25554
263,1.06391,-0.14924,-0.24605
264,1.05458,-0.14868,-0.26812
265,1.06266,-0.17891,-0.24777
266,1.06601,-0.16955,-0.24823
267,1.08703,-0.15643,-0.25271
268,1.08567,-0.15195999999999998,-0.25053000000000003
269,1.0559,-0.18595,-0.25033
270,1.03333,-0.16899999999999998,-0.2418
271,1.0598299999999998,-0.14343,-0.24262
272,1.06623,-0.11951,-0.24278
273,1.03667,-0.13652999999999998,-0.24933
274,1.09806,-0.15641,-0.24988
275,1.08299,-0.15425,-0.25208
276,1.0316299999999998,-0.14201,-0.22164
277,1.07617,-0.16942000000000002,-0.23131
278,1.07628,-0.16566,-0.24548000000000006
279,1.0557299999999998,-0.16645,-0.24466
280,1.05533,-0.13677,-0.24347
281,1.07721,-0.14854,-0.25458000000000003
282,1.04804,-0.13354000000000002,-0.24922
283,1.05513,-0.16174000000000002,-0.24701
284,1.08076,-0.14872,-0.24662
285,1.02578,-0.13105,-0.25129
286,1.04589,-0.10249,-0.25343000000000004
287,1.06623,-0.12727,-0.24433
288,1.05762,-0.14042000000000002,-0.25194
289,1.05362,-0.12007,-0.24951
290,1.06568,-0.15624000000000002,-0.26079
291,1.05195,-0.13338,-0.24332
292,1.06828,-0.14049,-0.24444
293,1.04332,-0.14651,-0.24615
294,1.08604,-0.15705,-0.2399
