,fore-aft,lateral,normal
0,0.0026,0.03945,-0.31901
1,-0.04179,0.055220000000000005,-0.31368
2,-0.02119,0.07798,-0.30422
3,-0.02539,0.08866,-0.31747
4,0.00406,0.06519,-0.30243000000000003
5,-0.04763,0.07151,-0.30457
6,0.00188,0.03252,-0.31977
7,-0.0179,0.05106,-0.30235
8,-0.01133,0.04279,-0.29893000000000003
9,-0.0068,0.06779,-0.3244
10,-0.02208,0.07783,-0.3055
11,-0.02292,0.04463,-0.30141
12,0.01177,0.05061,-0.30495
13,-0.00335,0.06907,-0.32532
14,-0.02197,0.08169,-0.29739
15,-0.01672,0.0539,-0.30616
16,-0.03277,0.08465,-0.30705
17,-0.024,0.05229,-0.30487
18,-0.01306,0.06934,-0.30946
19,-0.0112,0.05559,-0.31328
20,-0.02611,0.06172,-0.31446
21,-0.00229,0.06581000000000001,-0.32184
22,-0.04114,0.05681,-0.30709000000000003
23,-0.00757,0.0619,-0.29881
24,-0.01404,0.0774,-0.31628
25,-0.0079,0.08195,-0.31304
26,-0.00363,0.08482999999999999,-0.30818
27,-0.02723,0.06166,-0.31271
28,-0.02181,0.04047,-0.30921
29,-0.0225,0.04673,-0.30951
30,-0.01323,0.04351,-0.31565
31,-0.02878,0.0588,-0.30794
32,0.00615,0.03174,-0.31107
33,-0.01845,0.04668,-0.32048000000000004
34,-0.03713,0.05798,-0.3218
35,-0.03053,0.08125,-0.30062
36,-0.00859,0.07927999999999999,-0.33337
37,-0.0181,0.07003,-0.30637
38,-0.02146,0.07435,-0.3146
39,-0.00318,0.06719,-0.32196
40,-0.02074,0.0699,-0.31868
41,-0.00811,0.0361,-0.32184
42,-0.03602,0.03494,-0.32915
43,-0.01835,0.03915,-0.31624
44,-0.00912,0.0521,-0.32591
45,-0.03294,0.04769,-0.32193
46,-0.027610000000000003,0.05295,-0.31566
47,0.00192,0.03699,-0.31555
48,-0.01659,0.032639999999999995,-0.32308000000000003
49,-0.03162,0.0513,-0.31626
50,-0.03199,0.07232999999999999,-0.30136
51,-0.01465,0.03726,-0.30442
52,-0.04145,0.07602,-0.30371
53,-0.00793,0.04941,-0.3093
54,-0.02452,0.04824,-0.31508
55,-0.04124,0.04272,-0.30541
56,-0.04469,0.08661,-0.31575
57,-0.03877,0.05505,-0.30537
58,-0.04812,0.07441,-0.3032
59,-0.02358,0.05154,-0.30963
60,-0.02456,0.03798,-0.29413
61,-0.03539,0.05247,-0.29836
62,-0.02659,0.06816,-0.30493000000000003
63,-0.029560000000000006,0.05743,-0.29754
64,-0.03171,0.06516,-0.29733000000000004
65,-0.0328,0.05136,-0.29884
66,-0.00804,0.06937,-0.28851
67,-0.00513,0.05408,-0.29699000000000003
68,-0.02417,0.05086,-0.28712
69,-0.04275,0.0608,-0.29624
70,-0.041010000000000005,0.08448,-0.2996
