,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele,fore-aft,lateral,normal
0,64.12370330632264,96.83517343914629,53.77938096232118,0.06813,-0.03053,1.21185
1,64.40686128538232,97.69837112380488,55.740901625978424,0.04218,-0.03766,1.22658
2,64.840625882469,96.75172665125874,52.36516190911588,0.05086,-0.00473,1.2249
3,66.53188948121158,100.57396339580313,55.726151395535844,0.03266,-0.00546,1.23694
4,66.73393485183904,99.1505819055938,54.82547945311964,0.01897,-0.00865,1.20778
5,65.92739462464037,101.11079052134272,57.96153607074017,0.04426,-0.01989,1.21524
6,66.19676958891064,98.35509241865215,58.46048592861465,0.04635,0.006959999999999999,1.19721
7,67.0810379140724,98.23836777210026,55.856990078129165,0.04309,-0.00979,1.21456
8,67.2286965472125,95.96464974273512,58.91605936681758,0.05546,-0.00594,1.2234200000000002
9,67.91252823788841,98.71533152749409,57.69152230381955,0.06741,-0.00746,1.22143
10,68.16098621351631,100.32345256428921,54.944256511922674,0.02649,-0.00288,1.20327
11,68.16039282312916,98.21013464484679,57.22794468409845,0.04092,0.01051,1.17801
12,68.31484135507216,96.93939188290237,57.190495348151074,0.06737,0.00647,1.1078
13,70.29781157249468,100.32963768520504,57.0818216624596,0.07547999999999999,0.01151,1.17072
14,69.02547590063426,97.63491043750427,58.9773027044053,0.00253,-0.02279,1.17743
15,70.87131617397561,97.87913147262721,59.30070351116413,0.02704,-0.00725,1.19222
16,72.19841629527231,96.89667926149693,59.31307292211522,0.01857,0.01685,1.2076
17,74.07304802184206,93.75217526932012,58.234425915947895,0.04609,0.00433,1.20539
18,72.76174464504622,93.71985969626196,56.920839945061594,0.04733,-0.00188,1.23429
19,73.93619408387788,93.17117472283873,58.00116655405429,0.03004,-0.00851,1.24403
20,74.66295692184536,94.51966075466665,59.00409113868854,0.02469,0.0116,1.24165
21,77.97573259989908,97.21887514336069,59.2680322140481,0.02779,-0.01182,1.22901
22,78.16412488214053,94.76667628198828,57.80439310165293,0.02059,0.00425,1.23942
23,82.37933730356438,92.75987535079672,61.452759173676434,0.035910000000000004,0.006670000000000001,1.24076
24,84.56693445687498,94.32450017745066,58.94710273504376,0.06633,0.01781,1.24774
25,83.58977585361826,95.09426841116829,59.23459501986118,0.03082,-0.03881,1.25329
26,85.072625594888,93.68498018375244,56.24749244359321,0.03812,-0.02594,1.23098
27,86.34397371000875,94.02949776185088,58.92656668624491,0.02966,0.016309999999999998,1.25274
28,84.80160994826639,94.9148944307436,59.61079508228779,0.0046700000000000005,0.00502,1.2403
29,88.37527700325458,97.12816930709782,57.14923354001503,0.03657,-0.01874,1.24408
30,87.66099597277857,97.36840372700328,56.82027584699589,0.04665,-0.04431,1.24207
31,88.65903801771304,94.98784411184937,56.574563066852726,0.0088,0.015069999999999997,1.2335
32,84.90500816066192,97.3856006464521,55.75991401448335,0.04814,0.0111,1.23798
33,85.30885260251253,99.13531650699792,56.44546863379503,0.04642,-0.03484,1.22277
34,85.97374401552295,98.44848091906117,56.34695916128798,0.03669,-0.00465,1.22292
35,83.65963277855292,100.02110223499857,55.608836137300436,0.01168,-0.02329,1.20886
36,85.40334380362826,93.3586382863898,54.549479337773725,0.04334,0.00207,1.22919
37,83.96061983519365,98.27146507885668,54.81655701356972,0.04476,0.0034200000000000003,1.21724
38,84.63129082712364,99.01047075268463,51.664626045603505,0.04602,-0.00612,1.2296
39,81.74144341598544,98.37867431010395,49.55989612965272,0.04655,0.02632,1.22525
40,82.46128081946296,101.875184670966,50.23480541410055,0.02424,0.01377,1.22631
41,79.78886247075606,96.78855422702871,51.825939211669976,0.02163,0.01609,1.23089
42,81.86980908625024,98.98591752538721,54.697872818935444,0.0358,0.03027,1.21673
43,79.86162889619189,104.50183014292757,53.397144817493775,0.02893,-0.00843,1.21212
