,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,61.61837150202538,19.251792322700794,64.08900973146115
140,61.62995528265488,17.21506078176276,66.24123069077547
141,62.508311855501354,16.001091706080416,67.08195275648336
142,63.47163945978666,13.196539276135098,68.0685919604451
143,62.895832642727065,16.704300920408997,65.99721126256465
144,63.52690100098487,12.787254965436318,68.41476363558085
145,63.47102039149719,17.474386239891942,65.21470248011502
146,65.46751902281332,15.26969891007488,66.32653554752062
147,65.48744095341961,14.812206128161506,67.61341798104776
148,64.87717494224823,16.967203709484323,68.67431936646538
149,65.95130065971179,13.022090395815638,70.00648506325486
150,65.5892715757501,10.822812240523007,67.42732385399884
151,65.77541124870487,13.166062677512542,64.98743734424455
152,67.54573928484585,17.38830010061139,65.92043828278389
153,66.7242187579583,15.301770651376813,66.52596184288672
154,66.1849896825575,18.0239604138514,66.65306466263108
155,67.11370264677996,17.03928429439182,66.29119867123856
156,68.53477185894229,14.528388837870239,68.81422204523253
157,70.04570052427206,13.669155811957324,72.14874555060317
158,70.56265470768481,12.547103131820307,71.20688001903073
159,71.30738735610481,10.996751778853792,70.65910880049756
160,72.21148895550688,9.810204724751372,71.39602852537841
161,71.68438006222111,10.398018625957206,71.2461121791255
162,71.4162712210759,13.770261228658427,69.76261587245632
163,73.02315409836808,17.3361264581944,66.4070769651497
164,74.44731263889413,13.680516992624177,69.18366762539017
165,74.27283637272559,16.043789791557373,68.5485991688912
