,fore-aft,lateral,normal
0,-0.07856,0.03707,0.03949
1,-0.06896000000000001,0.04744,0.0224
2,-0.09264,0.016630000000000002,0.02536
3,-0.07822,0.02623,0.0472
4,-0.07451,0.0593,0.02522
5,-0.07056,0.03699,0.0175
6,-0.08545,0.05904,0.02227
7,-0.10511,0.08456,0.03814
8,-0.03867,0.03819,0.03419
9,-0.09643,0.0474,0.00526
10,-0.06681000000000001,0.02558,0.02359
11,-0.0808,0.05125,0.01394
12,-0.0644,0.07849,0.029910000000000006
13,-0.0777,0.02175,0.04181
14,-0.07657,0.0645,0.04051
15,-0.06567,0.034210000000000004,0.032639999999999995
16,-0.07729,0.052120000000000014,0.01074
17,-0.09303,0.06491,0.02157
18,-0.05686,0.06467,0.01933
19,-0.0885,0.05834,0.02269
20,-0.09642,0.0615,0.02123
21,-0.07591,0.032,0.02364
22,-0.06447,0.06477999999999999,0.02406
23,-0.05857,0.04825,0.02964
24,-0.08761000000000001,0.01757,0.01963
25,-0.05954,0.06636,0.02072
26,-0.08457,0.0604,0.02331
27,-0.10333,0.054429999999999985,0.02958
28,-0.09003,0.04829,0.04389
29,-0.09991,0.03817,0.03038
30,-0.08522,0.03203,0.02322
31,-0.0707,0.06966,0.02683
32,-0.07432000000000001,0.04092,0.03693
33,-0.06732,0.03355,0.020030000000000003
34,-0.05345,0.044160000000000005,0.03268
35,-0.0794,0.03127,0.04234
36,-0.10122,0.04959,0.0203
37,-0.09775,0.06717999999999999,0.03995
38,-0.0946,0.06617,0.02706
39,-0.0837,0.06337999999999999,0.02643
40,-0.06927,0.05385,0.03854
41,-0.06579,0.04308,0.03698
42,-0.08655,0.07324,0.00685
43,-0.06915,0.07748,0.02841
44,-0.09921,0.06742999999999999,0.01185
45,-0.08527,0.06733,0.02304
46,-0.08248,0.04514,0.016630000000000002
47,-0.09525,0.048510000000000005,0.03253
48,-0.06527999999999999,0.05007,0.0282
49,-0.0619,0.04435,0.02696
50,-0.07879,0.06658,0.02661
51,-0.10184,0.04495,0.02584
52,-0.07852999999999999,0.03277,0.0231
53,-0.08993,0.04931,0.02358
54,-0.05603,0.0262,0.02284
55,-0.08905,0.02777,0.02501
56,-0.0845,0.0564,0.01425
57,-0.07207999999999999,0.03019,0.02394
58,-0.09365,0.02502,0.03687
59,-0.09564,0.05719,0.03522
60,-0.09024,0.04565,0.02699
61,-0.10071,0.02429,0.028460000000000006
62,-0.04656,0.04345,0.02929
63,-0.11154,0.06595,0.01623
64,-0.0726,0.06709,0.02505
65,-0.10374,0.0507,0.034010000000000006
66,-0.08175,0.06527000000000001,0.02293
67,-0.06385,0.02115,0.01886
68,-0.06345,0.05843,0.03336
69,-0.08502,0.02773,0.017740000000000002
70,-0.04623,0.05043,0.03694
71,-0.07118,0.0541,0.013330000000000002
72,-0.06873,0.04854,0.03493
73,-0.09307,0.03708,0.0214
74,-0.09482,0.03665,0.03848
75,-0.10059,0.055429999999999986,0.01483
76,-0.07467,0.02945,0.007409999999999998
77,-0.0998,0.05353,0.0291
78,-0.07453,0.03762,0.02037
79,-0.07739,0.05816,0.0284
80,-0.08675,0.06039,0.025
81,-0.06571,0.05036,0.027010000000000003
82,-0.07235,0.02007,0.02957
83,-0.08126,0.0526,0.03368
84,-0.08205,0.04762,0.02026
85,-0.0976,0.04197,0.026160000000000003
86,-0.08255,0.03951,0.02303
87,-0.08827,0.0503,0.04286
88,-0.09163,0.02491,0.0123
89,-0.1159,0.033510000000000005,0.03019
90,-0.09,0.04581,0.03168
91,-0.086,0.031180000000000006,0.01784
92,-0.0689,0.051420000000000014,0.01141
93,-0.08928,0.04056,0.03042
94,-0.06688,0.01225,0.0206
95,-0.08422,0.02437,-0.00151
96,-0.09952,0.0588,0.01366
97,-0.11475,0.034910000000000004,0.01609
98,-0.06621,0.04732,0.05134
99,-0.06517,0.01942,0.02068
100,-0.0836,0.06072,0.04
101,-0.08139,0.04684,0.029480000000000006
102,-0.0808,0.0528,0.02276
103,-0.11061,0.05305,0.03379
104,-0.05727,0.02939,0.07479
105,-0.05895,0.035,0.05993
106,-0.10209,0.03596,0.07121
107,-0.08761000000000001,0.045610000000000005,0.05732
108,-0.07052,0.037860000000000005,0.07601000000000001
109,-0.06441000000000001,0.04399,0.07094
110,-0.10145,0.02874,0.08839
111,-0.10021,0.04186,0.07811
112,-0.081,0.07272999999999999,0.08986
113,-0.0778,0.05239,0.08026
114,-0.08487,0.01299,0.08996
